SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
0.0,13.0,1.0,1.0,Mountain West Conference,0.975,0.962
0.0,19.0,1.0,1.0,Mountain West Conference,0.9444,0.9455
0.0,21.0,1.0,1.0,Mountain West Conference,0.9825,0.9825
0.0,25.0,1.0,1.0,Mountain West Conference,0.9508,0.9833
0.0,28.0,1.0,1.0,Mountain West Conference,0.9774,0.9714
0.0,22.0,1.0,1.0,Mountain West Conference,0.9704,0.977
0.0,31.0,1.0,1.0,Mountain West Conference,0.9778,0.9725
0.0,29.0,1.0,1.0,Mountain West Conference,0.9928,0.9783
0.0,32.0,1.0,1.0,Mountain West Conference,0.9912,0.991
0.0,33.0,1.0,1.0,Mountain West Conference,1.0,1.0
0.0,34.0,1.0,1.0,Mountain West Conference,0.942,0.973
0.0,35.0,1.0,1.0,Mountain West Conference,0.9437,0.9651
0.0,36.0,1.0,1.0,Mountain West Conference,0.9588,0.9495
0.0,37.0,1.0,1.0,Mountain West Conference,0.9541,0.9742
1.0,1.0,1.0,2.0,West Coast Conference,0.993,0.9531
1.0,4.0,1.0,2.0,West Coast Conference,0.961,0.9665
1.0,2.0,1.0,2.0,West Coast Conference,0.9712,0.9612
1.0,3.0,1.0,2.0,West Coast Conference,0.9744,0.9615
1.0,6.0,1.0,2.0,West Coast Conference,0.9683,0.9833
1.0,11.0,1.0,2.0,West Coast Conference,0.9638,0.9338
1.0,13.0,1.0,2.0,West Coast Conference,0.9811,0.9057
1.0,19.0,1.0,2.0,West Coast Conference,1.0,0.9914
1.0,21.0,1.0,2.0,West Coast Conference,1.0,0.9884
1.0,22.0,1.0,2.0,West Coast Conference,0.9916,0.9787
1.0,31.0,1.0,2.0,West Coast Conference,0.9816,0.9689
1.0,29.0,1.0,2.0,West Coast Conference,1.0,0.9849
1.0,32.0,1.0,2.0,West Coast Conference,0.9889,0.9444
1.0,33.0,1.0,2.0,West Coast Conference,1.0,0.9839
1.0,35.0,1.0,2.0,West Coast Conference,1.0,1.0
1.0,36.0,1.0,2.0,West Coast Conference,0.9785,1.0
1.0,1.0,1.0,3.0,West Coast Conference,0.9892,0.9322
1.0,2.0,1.0,3.0,West Coast Conference,0.9709,0.9474
1.0,3.0,1.0,3.0,West Coast Conference,0.9901,0.98
1.0,6.0,1.0,3.0,West Coast Conference,0.9578,0.9437
1.0,11.0,1.0,3.0,West Coast Conference,0.9764,0.9516
1.0,13.0,1.0,3.0,West Coast Conference,0.9851,0.9849
1.0,15.0,1.0,3.0,West Coast Conference,0.9915,0.9828
1.0,19.0,1.0,3.0,West Coast Conference,0.9823,0.9908
1.0,21.0,1.0,3.0,West Coast Conference,0.9918,0.9915
1.0,25.0,1.0,3.0,West Coast Conference,1.0,0.963
1.0,31.0,1.0,3.0,West Coast Conference,0.9938,0.9742
1.0,33.0,1.0,3.0,West Coast Conference,0.9811,0.9808
1.0,35.0,1.0,3.0,West Coast Conference,0.9923,0.992
1.0,36.0,1.0,3.0,West Coast Conference,0.9893,0.9889
0.0,1.0,1.0,1.0,Mountain West Conference,0.9652,0.9223
0.0,4.0,1.0,1.0,Mountain West Conference,0.9677,0.9596
